last_name, first_name,player_id,year,b_strikeout,b_walk,b_rbi,b_total_bases,r_total_stolen_base,b_game,r_run,
Pujols, Albert,405395,2022,55,28,68,169,1,109,42,
Cabrera, Miguel,408234,2022,101,28,43,126,1,112,25,
Molina, Yadier,425877,2022,40,5,24,79,2,78,19,
Cano, Robinson,429664,2022,25,4,4,19,0,33,5,
Suzuki, Kurt,435559,2022,29,15,15,41,0,51,10,
Cruz Jr., Nelson,443558,2022,119,49,64,151,4,124,50,
Peralta, David,444482,2022,114,41,59,182,1,134,39,
Escobar, Alcides,444876,2022,32,5,8,35,1,40,12,
Longoria, Evan,446334,2022,83,27,42,120,0,89,31,
Blackmon, Charlie,453568,2022,109,32,78,222,4,135,60,
Maldonado, Martin,455117,2022,116,22,45,121,0,113,40,
Chirinos, Robinson,455139,2022,67,19,22,56,1,67,10,
Cain, Lorenzo,456715,2022,36,8,9,34,2,43,17,
Solano, Donovan,456781,2022,61,19,24,107,0,80,22,
McCutchen, Andrew,457705,2022,124,57,69,198,8,134,66,
Turner, Justin,457759,2022,89,50,81,205,3,128,61,
Votto, Joey,458015,2022,97,44,41,119,0,91,31,
Andrus, Elvis,462101,2022,92,39,58,216,18,149,66,
Santana, Carlos,467793,2022,88,71,60,162,0,131,52,
Belt, Brandon,474832,2022,81,37,23,89,1,78,25,
Lowrie, Jed,476704,2022,39,15,16,44,1,50,14,
Brantley Jr., Michael,488726,2022,30,31,26,101,1,64,28,
Gurriel, Yuli,493329,2022,73,30,53,196,8,146,53,
Rojas, Miguel,500743,2022,61,26,36,152,9,140,34,
Escobar, Eduardo,500871,2022,129,40,69,213,0,136,58,
Adrianza, Ehire,501303,2022,25,11,7,20,1,37,8,
